hotel_nom,hotel_url,hotel_note,hotel_prix,hotel_lat,hotel_lon,city_id,city,ville_lat,ville_lon,temp_moy,clouds_moy,pop_moy,temp_score,ciel_score,pluie_score,score
Hôtel Vert,https://www.booking.com/hotel/fr/vert.fr.html,8.1,,48.61470048629041,-1.5096169710159302,1,Mont Saint Michel,48.6359541,-1.51146,23.14125,91.375,0.9375,0.16275146009085,0.0614754098360655,0.0,0.0747422899756385
Le Relais Saint Michel,https://www.booking.com/hotel/fr/le-relais-saint-michel.fr.html,8.1,,48.6175872716489,-1.51039615273476,1,Mont Saint Michel,48.6359541,-1.51146,23.14125,91.375,0.9375,0.16275146009085,0.0614754098360655,0.0,0.0747422899756385
Le Saint Aubert,https://www.booking.com/hotel/fr/hotel-saint-aubert.fr.html,7.4,,48.612937834706464,-1.5101051330566406,1,Mont Saint Michel,48.6359541,-1.51146,23.14125,91.375,0.9375,0.16275146009085,0.0614754098360655,0.0,0.0747422899756385
Mercure Mont Saint Michel,https://www.booking.com/hotel/fr/mont-saint-michel.fr.html,8.4,,48.61424652959294,-1.510545015335083,1,Mont Saint Michel,48.6359541,-1.51146,23.14125,91.375,0.9375,0.16275146009085,0.0614754098360655,0.0,0.0747422899756385
La Confiance,https://www.booking.com/hotel/fr/les-terrasses-poulard.fr.html,7.5,,48.63529991744177,-1.5103968232870102,1,Mont Saint Michel,48.6359541,-1.51146,23.14125,91.375,0.9375,0.16275146009085,0.0614754098360655,0.0,0.0747422899756385
Hotel De La Digue,https://www.booking.com/hotel/fr/de-la-digue.fr.html,7.5,,48.61688154944122,-1.510917842388153,1,Mont Saint Michel,48.6359541,-1.51146,23.14125,91.375,0.9375,0.16275146009085,0.0614754098360655,0.0,0.0747422899756385
Hotel Gabriel,https://www.booking.com/hotel/fr/hotel-gabriel.fr.html,8.1,,48.61538141368341,-1.510709971189499,1,Mont Saint Michel,48.6359541,-1.51146,23.14125,91.375,0.9375,0.16275146009085,0.0614754098360655,0.0,0.0747422899756385
La Mère Poulard,https://www.booking.com/hotel/fr/la-mere-poulard.fr.html,7.6,,48.63505774290867,-1.5109439939260485,1,Mont Saint Michel,48.6359541,-1.51146,23.14125,91.375,0.9375,0.16275146009085,0.0614754098360655,0.0,0.0747422899756385
La Vieille Auberge,https://www.booking.com/hotel/fr/la-vieille-auberge-le-mont-saint-michel.fr.html,7.5,,48.636063,-1.511457,1,Mont Saint Michel,48.6359541,-1.51146,23.14125,91.375,0.9375,0.16275146009085,0.0614754098360655,0.0,0.0747422899756385
Le Relais Du Roy,https://www.booking.com/hotel/fr/le-relais-du-roy.fr.html,8.3,,48.61626270451236,-1.510905772447586,1,Mont Saint Michel,48.6359541,-1.51146,23.14125,91.375,0.9375,0.16275146009085,0.0614754098360655,0.0,0.0747422899756385
Le Duguesclin,https://www.booking.com/hotel/fr/le-duguesclin-le-mont-saint-michel.fr.html,7.7,,48.636063,-1.511457,1,Mont Saint Michel,48.6359541,-1.51146,23.14125,91.375,0.9375,0.16275146009085,0.0614754098360655,0.0,0.0747422899756385
Le Mouton Blanc,https://www.booking.com/hotel/fr/le-mouton-blanc-le-mont-saint-michel.fr.html,7.2,,48.63573533870306,-1.5098536759614944,1,Mont Saint Michel,48.6359541,-1.51146,23.14125,91.375,0.9375,0.16275146009085,0.0614754098360655,0.0,0.0747422899756385
Hôtel la Croix Blanche,https://www.booking.com/hotel/fr/ha-el-la-croix-blanche.fr.html,8.1,,48.63573406427125,-1.5098610520362854,1,Mont Saint Michel,48.6359541,-1.51146,23.14125,91.375,0.9375,0.16275146009085,0.0614754098360655,0.0,0.0747422899756385
Auberge Saint Pierre,https://www.booking.com/hotel/fr/auberge-saint-pierre.fr.html,7.9,,48.63568797869143,-1.5098825097084043,1,Mont Saint Michel,48.6359541,-1.51146,23.14125,91.375,0.9375,0.16275146009085,0.0614754098360655,0.0,0.0747422899756385
